Área,Grupos de edad,Sexo,Total,Año
Bogotá, 0-4,Hombres,304095,2005
Bogotá, 0-4,Mujeres,290790,2005
Bogotá, 5-9  ,Hombres,317962,2005
Bogotá, 5-9  ,Mujeres,305340,2005
Bogotá, 10-14  ,Hombres,325522,2005
Bogotá, 10-14  ,Mujeres,312530,2005
Bogotá, 15-19,Hombres,307736,2005
Bogotá, 15-19,Mujeres,300289,2005
Bogotá, 20-24,Hombres,308620,2005
Bogotá, 20-24,Mujeres,335953,2005
Bogotá, 25-29,Hombres,292733,2005
Bogotá, 25-29,Mujeres,318352,2005
Bogotá, 30-34,Hombres,256734,2005
Bogotá, 30-34,Mujeres,280767,2005
Bogotá, 35-39,Hombres,246053,2005
Bogotá, 35-39,Mujeres,276102,2005
Bogotá, 40-44,Hombres,232004,2005
Bogotá, 40-44,Mujeres,267213,2005
Bogotá, 45-49,Hombres,192005,2005
Bogotá, 45-49,Mujeres,227516,2005
Bogotá, 50-54,Hombres,149116,2005
Bogotá, 50-54,Mujeres,178812,2005
Bogotá, 55-59,Hombres,114927,2005
Bogotá, 55-59,Mujeres,138070,2005
Bogotá, 60-64,Hombres,84365,2005
Bogotá, 60-64,Mujeres,102054,2005
Bogotá, 65-69,Hombres,58395,2005
Bogotá, 65-69,Mujeres,77296,2005
Bogotá, 70-74,Hombres,42022,2005
Bogotá, 70-74,Mujeres,57912,2005
Bogotá, 75-79,Hombres,29381,2005
Bogotá, 75-79,Mujeres,43193,2005
Bogotá, 80 y más,Hombres,24038,2005
Bogotá, 80 y más,Mujeres,42219,2005
Bogotá, 0-4,Hombres,304059,2010
Bogotá, 0-4,Mujeres,289775,2010
Bogotá, 5-9  ,Hombres,306436,2010
Bogotá, 5-9  ,Mujeres,292071,2010
Bogotá, 10-14  ,Hombres,319911,2010
Bogotá, 10-14  ,Mujeres,308646,2010
Bogotá, 15-19,Hombres,331371,2010
Bogotá, 15-19,Mujeres,320742,2010
Bogotá, 20-24,Hombres,314591,2010
Bogotá, 20-24,Mujeres,310388,2010
Bogotá, 25-29,Hombres,312007,2010
Bogotá, 25-29,Mujeres,341825,2010
Bogotá, 30-34,Hombres,293278,2010
Bogotá, 30-34,Mujeres,320707,2010
Bogotá, 35-39,Hombres,256024,2010
Bogotá, 35-39,Mujeres,281535,2010
Bogotá, 40-44,Hombres,244290,2010
Bogotá, 40-44,Mujeres,275771,2010
Bogotá, 45-49,Hombres,229412,2010
Bogotá, 45-49,Mujeres,265949,2010
Bogotá, 50-54,Hombres,188754,2010
Bogotá, 50-54,Mujeres,225498,2010
Bogotá, 55-59,Hombres,145064,2010
Bogotá, 55-59,Mujeres,176026,2010
Bogotá, 60-64,Hombres,109817,2010
Bogotá, 60-64,Mujeres,134465,2010
Bogotá, 65-69,Hombres,78036,2010
Bogotá, 65-69,Mujeres,97554,2010
Bogotá, 70-74,Hombres,51185,2010
Bogotá, 70-74,Mujeres,71279,2010
